empty_wells	matrix	condition	baculosome	MgCl2_mM	buffer_ionic_strength_M	fc
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.1	1.00224277666386
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.09	1.05111139289
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.08	0.955569706777591
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.07	1.09511322870581
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.06	1.06613986404598
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.05	1.00688917861799
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.04	0.994442017656796
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.03	1.05494137956762
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.02	1.05544256010301
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.01	1.04467887875055
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.1	1.14770356649409
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.09	1.19722670803504
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.08	1.12378292894898
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.07	0.979939036946163
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.06	0.996897973059108
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.05	1.05195077947677
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.04	0.985404191616767
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.03	1.04562290638819
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.02	1.0225642520722
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.01	1.03160134255268
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.1	0.997757223336138
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.09	0.948888607110001
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.08	1.04443029322241
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.07	0.904886771294194
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.06	0.933860135954023
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.05	0.993110821382008
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.04	1.0055579823432
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.03	0.945058620432379
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.02	0.944557439896987
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.01	0.955321121249455
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.1	0.852296433505914
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.09	0.802773291964956
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.08	0.876217071051019
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.07	1.02006096305384
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.06	1.00310202694089
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.05	0.948049220523227
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.04	1.01459580838323
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.03	0.954377093611809
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.02	0.977435747927798
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.01	0.968398657447316
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.1	31.278520330442
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.09	25.0855363796029
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.08	27.5657223647082
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.07	24.7037475103075
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.06	22.437927738874
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.05	24.1148839634941
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.04	23.9664221997425
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.03	19.34463977442
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.02	18.282075669559
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.01	16.149113881217
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.1	30.6156962179069
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.09	28.5034904568747
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.08	26.5162461354343
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.07	29.5826147987668
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.06	25.7283283049335
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.05	25.3253812616871
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.04	26.3730007091081
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.03	25.160317171429
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.02	26.2845940797113
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.01	30.1310639546613
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.1	26.2475937852878
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.09	23.7738418662875
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.08	28.5023748736614
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.07	24.5632925869928
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.06	20.2673010846087
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.05	22.4739295958279
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.04	22.198397553798
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.03	22.9357709416574
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.02	19.4821849255937
FALSE	no matrix added	CYP3A4	CYP3A4	0	0.01	14.9477145832489
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.1	25.640216813689
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.09	28.0792060323233
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.08	27.3797774580062
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.07	29.6800744781742
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.06	28.2305910848596
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.05	26.1094734072029
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.04	26.4989954301922
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.03	23.7511620928986
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.02	27.6390775247181
FALSE	no matrix added	CYP3A4	CYP3A4	10	0.01	24.8330586567661
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.1	14.013337795948
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.09	11.6218485354542
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.08	11.68805903007
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.07	11.1662473010896
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.06	9.45044442565447
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.05	10.3521147327249
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.04	8.6389093249954
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.03	7.93906150707382
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.02	7.91220497212508
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.01	5.78550134758685
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.1	14.9708212501708
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.09	14.2870121943466
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.08	13.3105073444557
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.07	16.2392466335459
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.06	13.4448859048995
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.05	12.1831169455543
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.04	10.1974028915853
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.03	10.5604558847401
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.02	10.8360686226708
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.01	12.9103419002728
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.1	12.7510705583169
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.09	9.52379667674776
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.08	10.8581619120508
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.07	10.6174549065773
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.06	9.8579426512828
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.05	9.45677705345502
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	0	0.04	8.94492597020416
